odd_residue_mod_2^k,phi,v2(3r+1),succ_residue,check_w_blur+delta+phi(succ)-phi(res)
429,1.216587998055,3,161,-0.000001000000
431,-3.753353750675,1,647,-0.000001000000
433,-4.730996016613,2,325,-0.000001000000
435,-4.730996016613,1,653,-0.000001000000
437,2.194230263994,5,41,-0.000001000000
439,-2.775711484736,1,659,-0.000001000000
441,-4.730996016613,2,331,-0.000001000000
443,-2.775711484736,1,665,-0.000001000000
445,-1.268382876310,3,167,-0.000001000000
447,2.481848111869,1,671,-0.000001000000
449,2.194230263994,2,337,-0.000001000000
451,-2.775711484736,1,677,-0.000001000000
453,-5.708638282552,4,85,-0.000001000000
455,-3.753353750675,1,683,-0.000001000000
457,3.171872529933,2,343,-0.000001000000
459,3.171872529933,1,689,-0.000001000000
461,-4.283040093162,3,173,-0.000001000000
463,3.171872529933,1,695,-0.000001000000
465,-4.283040093162,2,349,-0.000001000000
467,-0.290740610371,1,701,-0.000001000000
469,-5.260682359101,7,11,-0.000001000000
471,3.171872529933,1,707,-0.000001000000
473,-4.283040093162,2,355,-0.000001000000
475,-4.730996016613,1,713,-0.000001000000
477,-4.283040093162,3,179,-0.000001000000
479,-2.775711484736,1,719,-0.000001000000
481,-3.305397827223,2,361,-0.000001000000
483,-5.260682359101,1,725,-0.000001000000
485,0.686901655568,4,91,-0.000001000000
487,4.149514795871,1,731,-0.000001000000
489,-3.305397827223,2,367,-0.000001000000
491,4.149514795871,1,737,-0.000001000000
493,-3.305397827223,3,185,-0.000001000000
495,0.686901655568,1,743,-0.000001000000
497,-5.260682359101,2,373,-0.000001000000
499,-3.305397827223,1,749,-0.000001000000
501,1.664543921507,5,47,-0.000001000000
503,-1.798069218797,1,755,-0.000001000000
505,-2.327755561285,2,379,-0.000001000000
507,-4.283040093162,1,761,-0.000001000000
509,-3.305397827223,3,191,-0.000001000000
511,-0.532809104984,1,767,-0.000001000000
513,-4.283040093162,2,385,-0.000001000000
515,2.642186187445,1,773,-0.000001000000
517,2.642186187445,4,97,-0.000001000000
519,-2.327755561285,1,779,-0.000001000000
521,2.642186187445,2,391,-0.000001000000
523,2.642186187445,1,785,-0.000001000000
525,-4.812726435650,3,197,-0.000001000000
527,-0.820426952858,1,791,-0.000001000000
529,-4.812726435650,2,397,-0.000001000000
531,2.642186187445,1,797,-0.000001000000
533,-4.812726435650,6,25,-0.000001000000
535,-5.260682359101,1,803,-0.000001000000
537,-5.260682359101,2,403,-0.000001000000
539,-3.305397827223,1,809,-0.000001000000
541,-3.835084169711,3,203,-0.000001000000
543,3.619828453384,1,815,-0.000001000000
545,-3.835084169711,2,409,-0.000001000000
547,-4.812726435650,1,821,-0.000001000000
549,0.157215313080,4,103,-0.000001000000
551,-3.835084169711,1,827,-0.000001000000
553,3.619828453384,2,415,-0.000001000000
555,-4.812726435650,1,833,-0.000001000000
557,-3.835084169711,3,209,-0.000001000000
559,-0.372471029407,1,839,-0.000001000000
561,-3.835084169711,2,421,-0.000001000000
563,-3.835084169711,1,845,-0.000001000000
565,-5.790368701588,5,53,-0.000001000000
567,-2.327755561285,1,851,-0.000001000000
569,-2.857441903772,2,427,-0.000001000000
571,-4.812726435650,1,857,-0.000001000000
573,1.134857579019,3,215,-0.000001000000
575,-3.835084169711,1,863,-0.000001000000
577,-4.812726435650,2,433,-0.000001000000
579,-4.812726435650,1,869,-0.000001000000
581,2.112499844958,4,109,-0.000001000000
583,-4.812726435650,1,875,-0.000001000000
585,-2.857441903772,2,439,-0.000001000000
587,2.112499844958,1,881,-0.000001000000
589,2.112499844958,3,221,-0.000001000000
591,-2.857441903772,1,887,-0.000001000000
593,-1.350113295346,2,445,-0.000001000000
595,-1.350113295346,1,893,-0.000001000000
597,-5.342412778137,8,7,-0.000001000000
599,2.112499844958,1,899,-0.000001000000
601,-2.857441903772,2,451,-0.000001000000
603,-1.879799637833,1,905,-0.000001000000
605,-5.790368701588,3,227,-0.000001000000
607,-3.835084169711,1,911,-0.000001000000
609,3.090142110897,2,457,-0.000001000000
611,-4.364770512198,1,917,-0.000001000000
613,-4.364770512198,4,115,-0.000001000000
615,-1.879799637833,1,923,-0.000001000000
617,3.090142110897,2,463,-0.000001000000
619,3.090142110897,1,929,-0.000001000000
621,-0.372471029407,3,233,-0.000001000000
623,3.090142110897,1,935,-0.000001000000
625,-5.342412778137,2,469,-0.000001000000
627,3.090142110897,1,941,-0.000001000000
629,-4.364770512198,5,59,-0.000001000000
631,-4.364770512198,1,947,-0.000001000000
633,-4.812726435650,2,475,-0.000001000000
635,-4.812726435650,1,953,-0.000001000000
637,-2.857441903772,3,239,-0.000001000000
639,3.014657216852,1,959,-0.000001000000
641,-3.387128246260,2,481,-0.000001000000
643,-5.342412778137,1,965,-0.000001000000
645,0.605171236532,4,121,-0.000001000000
647,-4.364770512198,1,971,-0.000001000000
649,4.067784376835,2,487,-0.000001000000
651,0.605171236532,1,977,-0.000001000000
653,-5.342412778137,3,245,-0.000001000000
655,4.067784376835,1,983,-0.000001000000
657,-3.387128246260,2,493,-0.000001000000
659,-3.387128246260,1,989,-0.000001000000
661,1.582813502470,6,31,-0.000001000000
663,-5.342412778137,1,995,-0.000001000000
665,-3.387128246260,2,499,-0.000001000000
667,4.067784376835,1,1001,-0.000001000000
669,-1.879799637833,3,251,-0.000001000000
671,1.870431350345,1,1007,-0.000001000000
673,-2.409485980321,2,505,-0.000001000000
675,1.582813502470,1,1013,-0.000001000000
677,-3.387128246260,4,127,-0.000001000000
679,-2.409485980321,1,1019,-0.000001000000
681,-0.614539524020,2,511,-0.000001000000
683,-4.364770512198,1,1025,-0.000001000000
685,2.560455768409,3,257,-0.000001000000
687,-4.364770512198,1,1031,-0.000001000000
689,2.560455768409,2,517,-0.000001000000
691,2.560455768409,1,1037,-0.000001000000
693,-4.894456854686,5,65,-0.000001000000
